SAMPLE_NAME	QUALITY_SCORE
358(1,F23)	0.92
359(1,G23)	0.93
360(1,H23)	0.92
361(1,I23)	0.95
362(1,J23)	0.96
363(1,K23)	0.96
364(1,L23)	0.97
365(1,M23)	0.92
366(1,N23)	0.97
367(1,O23)	0.93
368(1,P23)	0.82
369(1,A24)	0.90
370(1,B24)	0.89
371(1,C24)	0.90
372(1,D24)	0.96
373(1,E24)	0.87
374(1,F24)	0.89
375(1,G24)	0.93
376(1,H24)	0.89
377(1,I24)	0.87
378(1,J24)	0.90
379(1,K24)	0.89
380(1,L24)	0.89
381(1,M24)	0.89
382(1,N24)	0.92
383(1,O24)	0.94
384(1,P24)	0.93
